"","logFC","AveExpr","t","P.Value","padj","B"
"CACNA2D3",-1.12520467945459,0.881056849120814,-6.0275665291266,1.37113742767308e-06,0.00162945971904669,5.3299721237982
"CFH",1.84290664881251,1.87907003161464,6.006877601561,1.4520352232345e-06,0.00164342729456369,5.27651588607849
"VSIG2",0.968528527565594,1.50049089307425,5.98513113553399,1.54226647942468e-06,0.00166620862195299,5.22029091740765
"ANXA3",2.48930160093854,5.94714437104002,5.94562163418103,1.72092756181386e-06,0.00177839157779095,5.11804719774457
"FKBP5",2.22333587907579,6.65758503920675,5.89170450008781,1.99891535016783e-06,0.00197959250178288,4.97833244830468
"LOC399715",1.51528360981598,2.21120880091641,5.79405726771567,2.62278658947012e-06,0.0023125719826147,4.724785879524
"CLU",2.21176239494759,5.61487414111804,5.79048026650541,2.64904176915615e-06,0.0023125719826147,4.71548609088085
"ST6GALNAC4",-1.26481822297812,3.6660347648153,-5.78369065283119,2.69960773578309e-06,0.0023125719826147,4.69783166369545
"KCNH7",1.53870205297893,3.59133257714285,5.75881796515451,2.89329461125293e-06,0.0023125719826147,4.63313296477442
"TREML1",2.14082525759468,3.88985470325582,5.75439280615599,2.92919226380093e-06,0.0023125719826147,4.62161829781673
"ITGA2B",2.02748784406862,3.02282329360659,5.73827534139624,3.06377280597386e-06,0.0023125719826147,4.5796692482813
"HIST1H2BK",1.50016208518322,6.99321783074263,5.73240268167412,3.11434192515176e-06,0.0023125719826147,4.56438060017788
"IRAK3",2.04750846325182,6.9596417705798,5.70386765437732,3.37227408579739e-06,0.0023125719826147,4.4900651720452
"FFAR3",1.39973316829124,1.66560714935872,5.70090067263771,3.4002977203092e-06,0.0023125719826147,4.48233542483121
"SPARC",1.78863777479485,4.91120673723133,5.69545817162709,3.45231364294567e-06,0.0023125719826147,4.46815503386095
"MCEMP1",3.32013832657943,6.47429465797684,5.68877133287135,3.51731964101698e-06,0.0023125719826147,4.45073027568121
"BMX",2.71594756110053,3.74331595299127,5.68450661678474,3.55942079662971e-06,0.0023125719826147,4.43961586638027
"METTL9",1.59314201123804,7.67373256682966,5.67161091472002,3.68983657089756e-06,0.0023125719826147,4.40600194210801
"GRINA",1.67875839572293,5.77381341753134,5.67088559489239,3.69731299812178e-06,0.0023125719826147,4.4041110571871
"FAM20A",2.89316088634629,3.89412181893388,5.62909698222047,4.1548123968709e-06,0.00253209182176481,4.29512286078433
"LRRC70",1.94520140847271,2.06049403604389,5.60127313640046,4.49059453823091e-06,0.00266831127461681,4.22250696767747
"C9orf84",2.0584839992313,4.95505914163503,5.58969369402147,4.6382559308109e-06,0.00268883090154911,4.19227541436455
